"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2006-02-01","2006-01-31"
"4","Statement of changes in beneficial ownership of securities","2006-02-01","2006-01-31"
"4","Statement of changes in beneficial ownership of securities","2006-02-01","2006-01-31"
"4","Statement of changes in beneficial ownership of securities","2006-02-01","2006-01-30"
"4","Statement of changes in beneficial ownership of securities","2006-02-01","2006-01-30"
"4","Statement of changes in beneficial ownership of securities","2006-02-01","2006-01-30"
"4","Statement of changes in beneficial ownership of securities","2006-02-01","2006-01-30"
"4","Statement of changes in beneficial ownership of securities","2006-02-03","2006-02-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2006-02-03","2005-12-31"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2006-02-09",""
"3","Initial statement of beneficial ownership of securities","2006-02-10","2006-02-02"
"3","Initial statement of beneficial ownership of securities","2006-02-10","2006-02-02"
"3","Initial statement of beneficial ownership of securities","2006-02-10","2006-02-02"
"3","Initial statement of beneficial ownership of securities","2006-02-10","2006-02-02"
"4","Statement of changes in beneficial ownership of securities","2006-02-10","2006-02-09"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2006-02-14",""
"4","Statement of changes in beneficial ownership of securities","2006-02-16","2006-02-14"
"4","Statement of changes in beneficial ownership of securities","2006-03-01","2006-02-27"
"4","Statement of changes in beneficial ownership of securities","2006-03-01","2006-02-27"
"4","Statement of changes in beneficial ownership of securities","2006-03-03","2006-03-01"
"DEF 14A","Other definitive proxy statements","2006-03-13","2006-04-27"
"DEFR14A","Revised definitive proxy soliciting materials","2006-03-14",""
"4","Statement of changes in beneficial ownership of securities","2006-03-21","2006-03-19"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-03-28","2006-03-24"
"4","Statement of changes in beneficial ownership of securities","2006-04-03","2006-03-30"
"4","Statement of changes in beneficial ownership of securities","2006-04-05","2006-04-04"
"4","Statement of changes in beneficial ownership of securities","2006-04-05","2006-04-03"
"4","Statement of changes in beneficial ownership of securities","2006-04-05","2006-04-03"
"4","Statement of changes in beneficial ownership of securities","2006-04-07","2006-04-05"
"4","Statement of changes in beneficial ownership of securities","2006-04-11","2006-04-07"
"4","Statement of changes in beneficial ownership of securities","2006-04-11","2006-04-07"
"4","Statement of changes in beneficial ownership of securities","2006-04-13","2006-04-11"
"8-K","Current report","2006-04-19","2006-04-19"
"8-K","Current report","2006-04-21","2006-04-17"
"4","Statement of changes in beneficial ownership of securities","2006-05-02","2006-04-28"
"4","Statement of changes in beneficial ownership of securities","2006-05-03","2006-05-01"
"4","Statement of changes in beneficial ownership of securities","2006-05-03","2006-05-01"
"4","Statement of changes in beneficial ownership of securities","2006-05-03","2006-05-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2006-05-05","2006-04-01"
"4","Statement of changes in beneficial ownership of securities","2006-05-08","2006-05-04"
"4","Statement of changes in beneficial ownership of securities","2006-05-08","2006-05-04"
"4","Statement of changes in beneficial ownership of securities","2006-05-30","2006-05-25"
"4","Statement of changes in beneficial ownership of securities","2006-07-06","2006-07-03"
"8-K","Current report","2006-07-19","2006-07-19"
"4","Statement of changes in beneficial ownership of securities","2006-07-24","2006-07-20"
"4","Statement of changes in beneficial ownership of securities","2006-07-26","2006-07-24"
"4/A","Statement of changes in beneficial ownership of securities - amendment","2006-07-26","2006-07-20"
"4","Statement of changes in beneficial ownership of securities","2006-07-28","2006-07-26"
"4","Statement of changes in beneficial ownership of securities","2006-08-02","2006-07-31"
"8-K","Current report","2006-08-04","2006-08-03"
"4","Statement of changes in beneficial ownership of securities","2006-08-08","2006-08-05"
"4","Statement of changes in beneficial ownership of securities","2006-08-08","2006-08-05"
"8-K","Current report","2006-08-11","2006-08-11"
"NT 10-Q","Notification of inability to timely file Form 10-Q or 10-QSB","2006-08-11","2006-07-01"
"CORRESP","Correspondence","2006-08-17",""
"4","Statement of changes in beneficial ownership of securities","2006-08-17","2006-08-14"
"UPLOAD","SEC-generated letter","2006-08-28",""
"4","Statement of changes in beneficial ownership of securities","2006-09-01","2006-06-07"
"8-K","Current report","2006-09-01","2006-08-29"
"4","Statement of changes in beneficial ownership of securities","2006-09-07","2006-09-05"
"3","Initial statement of beneficial ownership of securities","2006-09-07","2006-08-29"
"4","Statement of changes in beneficial ownership of securities","2006-09-15","2006-09-13"
"8-K","Current report","2006-10-04","2006-09-30"
"UPLOAD","SEC-generated letter","2006-10-06",""
"8-K","Current report","2006-10-18","2006-10-18"
"8-K","Current report","2006-10-27","2006-10-24"
"4","Statement of changes in beneficial ownership of securities","2006-12-05","2006-12-01"
"3","Initial statement of beneficial ownership of securities","2006-12-05","2006-12-01"
"NT 10-K","Notification of inability to timely file Form 10-K 405, 10-K, 10-KSB 405, 10-KSB, 10-KT, or 10-KT405","2006-12-15","2006-09-30"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2006-12-29","2006-09-30"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2006-12-29","2006-07-01"
"4","Statement of changes in beneficial ownership of securities","2007-01-04","2006-12-29"
"8-K","Current report","2007-01-10","2007-01-09"
"4","Statement of changes in beneficial ownership of securities","2007-01-11","2007-01-09"
"4","Statement of changes in beneficial ownership of securities","2007-01-16","2007-01-11"
"8-K","Current report","2007-01-17","2007-01-17"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2007-01-18",""
"4","Statement of changes in beneficial ownership of securities","2007-01-18","2007-01-16"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2007-02-02","2006-12-30"
"4","Statement of changes in beneficial ownership of securities","2007-02-05","2007-02-01"
"4","Statement of changes in beneficial ownership of securities","2007-02-06","2007-02-02"
"4","Statement of changes in beneficial ownership of securities","2007-02-08","2007-02-06"
"4","Statement of changes in beneficial ownership of securities","2007-02-08","2007-02-06"
"4","Statement of changes in beneficial ownership of securities","2007-02-08","2007-02-06"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2007-02-14",""
"8-K","Current report","2007-02-21","2007-02-14"
"UPLOAD","SEC-generated letter","2007-02-28",""
"CORRESP","Correspondence","2007-03-13",""
"SC TO-I","Tender offer statement by Issuer","2007-03-16",""
"SC TO-I/A","Tender offer statement by Issuer - amendment","2007-03-21",""
"4","Statement of changes in beneficial ownership of securities","2007-03-21","2007-03-19"
"UPLOAD","SEC-generated letter","2007-04-12",""
"DEF 14A","Other definitive proxy statements","2007-04-16","2007-05-10"
"SC TO-I/A","Tender offer statement by Issuer - amendment","2007-04-17",""
"CORRESP","Correspondence","2007-04-24",""
"8-K","Current report","2007-04-24","2007-04-24"
"8-K","Current report","2007-04-25","2007-04-25"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2007-04-26",""
"4","Statement of changes in beneficial ownership of securities","2007-04-30","2007-04-26"
"4","Statement of changes in beneficial ownership of securities","2007-05-02","2007-04-30"
"UPLOAD","SEC-generated letter","2007-05-08",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2007-05-10","2007-03-31"
"8-K","Current report","2007-05-16","2007-05-10"
"CORRESP","Correspondence","2007-05-21",""
"4","Statement of changes in beneficial ownership of securities","2007-05-29","2007-05-25"
"UPLOAD","SEC-generated letter","2007-06-15",""
"8-K","Current report","2007-07-25","2007-07-25"
"4","Statement of changes in beneficial ownership of securities","2007-08-01","2007-07-30"
"4","Statement of changes in beneficial ownership of securities","2007-08-01","2007-07-30"
"4","Statement of changes in beneficial ownership of securities","2007-08-01","2007-07-30"
"4","Statement of changes in beneficial ownership of securities","2007-08-01","2007-07-30"
"4","Statement of changes in beneficial ownership of securities","2007-08-01","2007-07-30"
"4","Statement of changes in beneficial ownership of securities","2007-08-01","2007-07-30"
"4","Statement of changes in beneficial ownership of securities","2007-08-01","2007-07-30"
"4","Statement of changes in beneficial ownership of securities","2007-08-07","2007-08-05"
"4","Statement of changes in beneficial ownership of securities","2007-08-07","2007-08-05"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2007-08-08","2007-06-30"
"4","Statement of changes in beneficial ownership of securities","2007-08-15","2007-08-13"
"4","Statement of changes in beneficial ownership of securities","2007-08-16","2007-08-14"
"4","Statement of changes in beneficial ownership of securities","2007-08-17","2007-08-15"
"4","Statement of changes in beneficial ownership of securities","2007-09-04","2007-08-30"
"S-8","Securities to be offered to employees in employee benefit plans","2007-09-13",""
"4","Statement of changes in beneficial ownership of securities","2007-09-18","2007-09-14"
"8-K","Current report","2007-10-22","2007-10-22"
"4","Statement of changes in beneficial ownership of securities","2007-10-26","2006-02-28"
"4","Statement of changes in beneficial ownership of securities","2007-10-30","2007-10-26"
"4","Statement of changes in beneficial ownership of securities","2007-11-01","2007-11-01"
"3","Initial statement of beneficial ownership of securities","2007-11-01","2007-11-01"
"4","Statement of changes in beneficial ownership of securities","2007-11-02","2007-10-31"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2007-11-15","2007-09-29"
"4","Statement of changes in beneficial ownership of securities","2007-11-15","2006-12-12"
"4","Statement of changes in beneficial ownership of securities","2007-12-03","2007-11-29"
"4","Statement of changes in beneficial ownership of securities","2007-12-07","2007-12-05"
"4","Statement of changes in beneficial ownership of securities","2007-12-14","2007-12-12"
"4","Statement of changes in beneficial ownership of securities","2007-12-19","2007-12-17"
"4","Statement of changes in beneficial ownership of securities","2008-01-08","2008-01-04"
"3","Initial statement of beneficial ownership of securities","2008-01-08","2008-01-04"
"8-K","Current report","2008-01-08","2008-01-04"
"3","Initial statement of beneficial ownership of securities","2008-01-11","2008-01-04"
"3","Initial statement of beneficial ownership of securities","2008-01-14","2008-01-04"
"3","Initial statement of beneficial ownership of securities","2008-01-14","2008-01-04"
"3","Initial statement of beneficial ownership of securities","2008-01-14","2008-01-04"
"8-K","Current report","2008-01-15","2008-01-15"
"8-K","Current report","2008-01-22","2008-01-22"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2008-01-23",""
"DEF 14A","Other definitive proxy statements","2008-01-23","2008-03-04"
"4","Statement of changes in beneficial ownership of securities","2008-01-29","2008-01-25"
"UPLOAD","SEC-generated letter","2008-01-29",""
"4","Statement of changes in beneficial ownership of securities","2008-01-30","2008-01-28"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2008-02-01","2007-12-29"
"CORRESP","Correspondence","2008-02-11",""
"4","Statement of changes in beneficial ownership of securities","2008-02-14","2008-02-12"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2008-02-14",""
"UPLOAD","SEC-generated letter","2008-03-03",""
"CORRESP","Correspondence","2008-03-17",""
"4","Statement of changes in beneficial ownership of securities","2008-03-21","2008-03-19"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"4","Statement of changes in beneficial ownership of securities","2008-03-26","2008-03-24"
"UPLOAD","SEC-generated letter","2008-03-26",""
"4","Statement of changes in beneficial ownership of securities","2008-03-27","2008-03-25"
"8-K","Current report","2008-04-23","2008-04-23"
"4","Statement of changes in beneficial ownership of securities","2008-04-30","2008-04-29"
"4","Statement of changes in beneficial ownership of securities","2008-04-30","2008-04-28"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2008-05-01","2008-03-29"
"4","Statement of changes in beneficial ownership of securities","2008-05-28","2008-05-25"
"4","Statement of changes in beneficial ownership of securities","2008-05-30","2008-05-28"
"4","Statement of changes in beneficial ownership of securities","2008-05-30","2008-05-28"
"8-K","Current report","2008-06-09","2008-06-09"
"8-K","Current report","2008-07-21","2008-07-21"
"4","Statement of changes in beneficial ownership of securities","2008-07-22","2008-07-19"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2008-07-23","2008-06-28"
"4","Statement of changes in beneficial ownership of securities","2008-07-28","2008-07-24"
"4","Statement of changes in beneficial ownership of securities","2008-07-30","2008-07-28"
"4","Statement of changes in beneficial ownership of securities","2008-08-01","2008-07-30"
"4","Statement of changes in beneficial ownership of securities","2008-08-04","2008-07-31"
"4","Statement of changes in beneficial ownership of securities","2008-08-05","2008-08-01"
"4","Statement of changes in beneficial ownership of securities","2008-08-06","2008-08-04"
"4","Statement of changes in beneficial ownership of securities","2008-08-07","2008-08-05"
"4","Statement of changes in beneficial ownership of securities","2008-08-07","2008-08-05"
"4","Statement of changes in beneficial ownership of securities","2008-08-13","2008-08-11"
"4","Statement of changes in beneficial ownership of securities","2008-08-19","2008-08-14"
"8-K","Current report","2008-08-26","2008-08-20"
"4","Statement of changes in beneficial ownership of securities","2008-09-02","2008-08-28"
"4","Statement of changes in beneficial ownership of securities","2008-09-03","2008-08-30"
"4","Statement of changes in beneficial ownership of securities","2008-09-03","2008-08-29"
"4","Statement of changes in beneficial ownership of securities","2008-09-03","2008-08-30"
"4","Statement of changes in beneficial ownership of securities","2008-09-12","2008-09-11"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-09-26","2008-09-26"
"4","Statement of changes in beneficial ownership of securities","2008-10-21","2008-10-18"
"8-K","Current report","2008-10-21","2008-10-21"
"4","Statement of changes in beneficial ownership of securities","2008-11-04","2008-10-31"
"4","Statement of changes in beneficial ownership of securities","2008-11-04","2008-11-01"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2008-11-05","2008-09-27"
"4","Statement of changes in beneficial ownership of securities","2008-11-14","2008-11-14"
"NO ACT","No Action Letter","2008-11-20","2008-10-15"
"4","Statement of changes in beneficial ownership of securities","2008-12-12","2008-11-26"
"UPLOAD","SEC-generated letter","2008-12-22",""
"CORRESP","Correspondence","2009-01-05",""
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2009-01-07",""
"DEF 14A","Other definitive proxy statements","2009-01-07","2009-02-25"
"4","Statement of changes in beneficial ownership of securities","2009-01-09","2008-10-12"
"4","Statement of changes in beneficial ownership of securities","2009-01-09","2008-12-26"
"8-K","Current report","2009-01-16","2009-01-14"
"8-K","Current report","2009-01-21","2009-01-21"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2009-01-23","2008-12-27"
"UPLOAD","SEC-generated letter","2009-01-24",""
"4","Statement of changes in beneficial ownership of securities","2009-01-28","2009-01-26"
"CORRESP","Correspondence","2009-02-09",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2009-02-17",""
"UPLOAD","SEC-generated letter","2009-02-27",""
"8-K","Current report","2009-02-27","2009-02-26"
"4","Statement of changes in beneficial ownership of securities","2009-03-23","2009-03-19"
"4","Statement of changes in beneficial ownership of securities","2009-04-17","2009-04-15"
"8-K","Current report","2009-04-22","2009-04-22"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2009-04-23","2009-03-28"
"10-Q/A","Quarterly report [Sections 13 or 15(d)] - amendment","2009-04-27","2009-03-28"
"3","Initial statement of beneficial ownership of securities","2009-04-28","2009-04-24"
"4","Statement of changes in beneficial ownership of securities","2009-04-28","2009-04-24"
"4","Statement of changes in beneficial ownership of securities","2009-04-29","2009-04-27"
"4","Statement of changes in beneficial ownership of securities","2009-05-05","2009-05-04"
"4","Statement of changes in beneficial ownership of securities","2009-05-08","2009-05-06"
"4","Statement of changes in beneficial ownership of securities","2009-05-27","2009-05-25"
"8-K","Current report","2009-06-02","2009-05-27"
"4","Statement of changes in beneficial ownership of securities","2009-06-22","2009-06-18"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-02","2009-06-26"
"4","Statement of changes in beneficial ownership of securities","2009-07-21","2009-07-17"
"4","Statement of changes in beneficial ownership of securities","2009-07-21","2009-07-19"
"8-K","Current report","2009-07-21","2009-07-21"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2009-07-22","2009-06-27"
"4","Statement of changes in beneficial ownership of securities","2009-07-28","2009-07-24"
"4","Statement of changes in beneficial ownership of securities","2009-07-28","2009-07-24"
"4","Statement of changes in beneficial ownership of securities","2009-07-29","2009-07-27"
"4","Statement of changes in beneficial ownership of securities","2009-07-30","2009-07-28"
"4","Statement of changes in beneficial ownership of securities","2009-08-04","2009-07-31"
"8-K","Current report","2009-08-04","2009-07-31"
"4","Statement of changes in beneficial ownership of securities","2009-08-07","2009-08-05"
"4","Statement of changes in beneficial ownership of securities","2009-08-07","2009-08-05"
"4","Statement of changes in beneficial ownership of securities","2009-08-18","2009-08-14"
"4","Statement of changes in beneficial ownership of securities","2009-09-01","2009-08-30"
"4","Statement of changes in beneficial ownership of securities","2009-09-01","2009-08-29"
"4","Statement of changes in beneficial ownership of securities","2009-09-04","2008-01-28"
"4","Statement of changes in beneficial ownership of securities","2009-09-15","2009-09-11"
"4","Statement of changes in beneficial ownership of securities","2009-09-23","2009-09-21"
"3","Initial statement of beneficial ownership of securities","2009-09-23","2009-09-21"
"4","Statement of changes in beneficial ownership of securities","2009-09-29","2009-09-26"
"4","Statement of changes in beneficial ownership of securities","2009-10-08","2009-10-06"
"4","Statement of changes in beneficial ownership of securities","2009-10-19","2009-10-15"
"8-K","Current report","2009-10-19","2009-10-19"
"4","Statement of changes in beneficial ownership of securities","2009-10-26","2009-10-22"
"4","Statement of changes in beneficial ownership of securities","2009-10-26","2009-10-22"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2009-10-27","2009-09-26"
"4","Statement of changes in beneficial ownership of securities","2009-10-28","2009-10-26"
"4","Statement of changes in beneficial ownership of securities","2009-10-28","2009-10-26"
"4","Statement of changes in beneficial ownership of securities","2009-12-03","2009-12-01"
"PRE 14A","Other preliminary proxy statements","2009-12-23","2010-02-25"
"4","Statement of changes in beneficial ownership of securities","2010-01-06","2010-01-04"
"4","Statement of changes in beneficial ownership of securities","2010-01-06","2009-12-24"
"4","Statement of changes in beneficial ownership of securities","2010-01-06","2009-12-24"
"DEF 14A","Other definitive proxy statements","2010-01-12","2010-02-25"
"8-K","Current report","2010-01-25","2010-01-25"
"10-K/A","Annual report [Section 13 and 15(d), not S-K Item 405] - amendment","2010-01-25","2009-09-26"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2010-01-25","2009-12-26"
"DEFR14A","Revised definitive proxy soliciting materials","2010-01-26",""
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2010-01-29",""
"4","Statement of changes in beneficial ownership of securities","2010-02-04","2010-02-02"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2010-02-16",""
"UPLOAD","SEC-generated letter","2010-02-18",""
"4","Statement of changes in beneficial ownership of securities","2010-02-25","2010-02-23"
"4","Statement of changes in beneficial ownership of securities","2010-02-26","2010-02-25"
"4","Statement of changes in beneficial ownership of securities","2010-02-26","2010-02-25"
"4","Statement of changes in beneficial ownership of securities","2010-02-26","2010-02-25"
"4","Statement of changes in beneficial ownership of securities","2010-02-26","2010-02-25"
"4","Statement of changes in beneficial ownership of securities","2010-02-26","2010-02-25"
"8-K","Current report","2010-03-01","2010-02-25"
"S-8","Securities to be offered to employees in employee benefit plans","2010-03-04",""
"CORRESP","Correspondence","2010-03-04",""
"4","Statement of changes in beneficial ownership of securities","2010-03-12","2010-03-10"
"8-K","Current report","2010-03-12","2010-03-10"
"UPLOAD","SEC-generated letter","2010-03-19",""
"4","Statement of changes in beneficial ownership of securities","2010-03-25","2010-03-24"
"4","Statement of changes in beneficial ownership of securities","2010-03-25","2010-03-24"
"4","Statement of changes in beneficial ownership of securities","2010-03-25","2010-03-24"
"4","Statement of changes in beneficial ownership of securities","2010-03-25","2010-03-24"
"4","Statement of changes in beneficial ownership of securities","2010-03-25","2010-03-24"
"4","Statement of changes in beneficial ownership of securities","2010-03-25","2010-03-24"
"4","Statement of changes in beneficial ownership of securities","2010-03-25","2010-03-24"
"CORRESP","Correspondence","2010-04-01",""
"4","Statement of changes in beneficial ownership of securities","2010-04-02","2010-04-01"
"4","Statement of changes in beneficial ownership of securities","2010-04-07","2010-04-05"
"UPLOAD","SEC-generated letter","2010-04-14",""
"4","Statement of changes in beneficial ownership of securities","2010-04-19","2010-04-15"
"8-K","Current report","2010-04-20","2010-04-20"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2010-04-21","2010-03-27"
"4","Statement of changes in beneficial ownership of securities","2010-04-27","2010-04-23"
"4","Statement of changes in beneficial ownership of securities","2010-04-27","2010-04-24"
"4","Statement of changes in beneficial ownership of securities","2010-04-27","2010-04-23"
"4","Statement of changes in beneficial ownership of securities","2010-04-28","2010-04-26"
"4","Statement of changes in beneficial ownership of securities","2010-05-06","2010-05-04"
"4","Statement of changes in beneficial ownership of securities","2010-06-02","2010-05-28"
"4","Statement of changes in beneficial ownership of securities","2010-06-04","2010-06-03"
"4","Statement of changes in beneficial ownership of securities","2010-06-10","2010-06-08"
"3","Initial statement of beneficial ownership of securities","2010-07-19","2010-07-07"
"8-K","Current report","2010-07-20","2010-07-20"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2010-07-21","2010-06-26"
"S-8","Securities to be offered to employees in employee benefit plans","2010-07-22",""
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-08-05","2010-07-30"
"4","Statement of changes in beneficial ownership of securities","2010-09-14","2010-09-11"
"4","Statement of changes in beneficial ownership of securities","2010-09-22","2010-09-20"
"4","Statement of changes in beneficial ownership of securities","2010-09-23","2010-09-21"
"4","Statement of changes in beneficial ownership of securities","2010-09-23","2010-09-21"
"4","Statement of changes in beneficial ownership of securities","2010-09-23","2010-09-21"
"4","Statement of changes in beneficial ownership of securities","2010-09-23","2010-09-21"
"4","Statement of changes in beneficial ownership of securities","2010-09-23","2010-09-21"
"4","Statement of changes in beneficial ownership of securities","2010-09-23","2010-09-21"
"4","Statement of changes in beneficial ownership of securities","2010-09-23","2010-09-21"
"4","Statement of changes in beneficial ownership of securities","2010-09-23","2010-09-21"
"4","Statement of changes in beneficial ownership of securities","2010-09-27","2010-09-23"
"4","Statement of changes in beneficial ownership of securities","2010-10-08","2010-10-06"
"8-K","Current report","2010-10-18","2010-10-18"
"4","Statement of changes in beneficial ownership of securities","2010-10-19","2010-10-15"
"4","Statement of changes in beneficial ownership of securities","2010-10-19","2010-10-15"
"4","Statement of changes in beneficial ownership of securities","2010-10-19","2010-10-15"
"4","Statement of changes in beneficial ownership of securities","2010-10-25","2010-10-21"
"4","Statement of changes in beneficial ownership of securities","2010-10-25","2010-10-21"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2010-10-27","2010-09-25"
"4","Statement of changes in beneficial ownership of securities","2010-10-29","2010-10-28"
"4","Statement of changes in beneficial ownership of securities","2010-11-04","2010-11-02"
"4","Statement of changes in beneficial ownership of securities","2010-11-17","2010-11-16"
"3","Initial statement of beneficial ownership of securities","2010-11-17","2010-11-16"
"8-K","Current report","2010-11-17","2010-11-16"
"4","Statement of changes in beneficial ownership of securities","2010-12-02","2010-11-30"
"4","Statement of changes in beneficial ownership of securities","2010-12-14","2010-12-12"
"4","Statement of changes in beneficial ownership of securities","2010-12-28","2010-12-10"
"4","Statement of changes in beneficial ownership of securities","2010-12-28","2010-12-14"
"4","Statement of changes in beneficial ownership of securities","2010-12-28","2010-12-17"
"4","Statement of changes in beneficial ownership of securities","2010-12-28","2010-12-17"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2011-01-07",""
"DEF 14A","Other definitive proxy statements","2011-01-07","2011-02-23"
"4","Statement of changes in beneficial ownership of securities","2011-01-12","2011-01-10"
"8-K","Current report","2011-01-18","2011-01-18"
"8-K","Current report","2011-01-18","2011-01-17"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2011-01-19","2010-12-25"
"UPLOAD","SEC-generated letter","2011-01-28",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2011-02-02",""
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-02-01"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-02-01"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-02-01"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-02-01"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-02-01"
"4","Statement of changes in beneficial ownership of securities","2011-02-03","2011-01-31"
